fight_id,pred_delta_live,p_steam_live,pred_qclose_live,p_mkt_live,event_id,event_date,year,fold,movement_spec,f1_name,f2_name,division,selected_side,selected_fighter,selected_odds,selected_p_market,selected_ev,selected_steam_prob,pred_clv_pp,realized_clv_pp,pred_qclose_fav,qfav_opening,qfav_closing,prob_fav_steams,pred_delta_fav,selected_won,unit_return,kelly_raw,result,movement_alpha,direction_C,sel_fav_live,ev_live,steam_sel_live,clv_live,qual_live,qual_ship
50,-0.1099380048790393,0.36468921072910154,0.6172397386386568,0.6228993310780752,5,2026-06-27,2026,2026,MOV_MKT_STATS,nazim sadykhov,matheus camilo,Lightweight,underdog,matheus camilo,2.7,0.3864688325426593,0.0434658478651801,0.6677546737946294,3.4378119810988927,1.1916288708828215,0.608479023046154,0.6428571428571429,0.6309408541483147,0.3322453262053705,-0.1468633212637891,1,1.7000000000000002,0.0255681458030471,0,100,0.01,False,0.018171806089197107,0.6353107892708985,2.561740421848613,False,False
51,-0.011418212427222607,0.5071026926173055,0.7310944979665892,0.7497914727672692,5,2026-06-27,2026,2026,MOV_MKT_STATS,asu almabayev,charles johnson,Flyweight,favorite,asu almabayev,1.3636363636363638,0.7628582260070926,0.040261217282399,0.5666424614513433,0.8944300844934916,8.351648351648356,0.7422776341782682,0.7333333333333333,0.8168498168498168,0.5666424614513433,0.0462395275137477,1,0.3636363636363637,0.1107183475265973,1,100,0.01,True,0.022442917409912555,0.5071026926173055,-0.2238835366744074,False,False
52,0.03523531685990945,0.5805996182849369,0.731121236775964,0.749822581235471,5,2026-06-27,2026,2026,MOV_MKT_STATS,ikram aliskerov,brunno ferreira,Middleweight,favorite,ikram aliskerov,1.33333,0.7476660657791925,-0.0031144045146294,0.575369942705276,0.5127886289840289,8.965036180139553,0.7292663167301372,0.7241384304402969,0.8137887922416924,0.575369942705276,0.0258199679897651,1,0.3333299999999999,0.0,1,100,0.01,True,-0.00023905776130961343,0.5805996182849369,0.6982806335667058,False,False
54,-0.055224725220886936,0.44636917227459205,0.4861973264317834,0.485693067818571,5,2026-06-27,2026,2026,MOV_MKT_STATS,farman hasanov,eric nolan,Welterweight,underdog,eric nolan,1.90909,0.5135228127457665,-0.0196387334151846,0.5520544985247932,1.3046413896182496,-20.012355121492032,0.4869535861038175,0.5,0.7001235512149203,0.4479455014752068,-0.0521975037102085,0,-1.0,0.0,1,100,0.01,False,-0.01814177884175583,0.553630827725408,1.3802673568216572,False,False
56,-0.0414010087181433,0.4585522087597583,0.6582686042136304,0.6674318820062535,5,2026-06-27,2026,2026,MOV_MKT_STATS,nursulton ruziboev,andrey pulyaev,Middleweight,underdog,andrey pulyaev,2.9,0.3389479339765449,-0.0170509914680199,0.5776507990370504,1.5062250703978597,1.4701557876523386,0.652457613766471,0.6675198644704496,0.6528183065939263,0.4223492009629496,-0.0671294887921953,0,-1.0,0.0,1,100,0.01,False,-0.0355524578181351,0.5414477912402418,0.9251260256819216,False,False
57,0.055046864622179066,0.6214137168752742,0.6269961277133927,0.6333862184211972,5,2026-06-27,2026,2026,MOV_MKT_STATS,kaan ofli,javier reyes,Featherweight,favorite,javier reyes,1.57143,0.6336698248012116,-0.004232227212632,0.6088003067233361,1.3224337408064613,3.35229929880676,0.6272592096765305,0.6140348722684659,0.6475578652565335,0.6088003067233361,0.0561719227652292,0,-1.0,0.0,1,100,0.01,True,-0.004677894786377923,0.6214137168752742,1.2961255444926878,False,False
58,0.09945737712716879,0.7119842507335363,0.8579668459708626,0.9018770659971924,5,2026-06-27,2026,2026,MOV_MKT_STATS,daniil donchenko,theodor berggren,Welterweight,favorite,daniil donchenko,1.14286,0.8958999632349879,0.0238882319827382,0.668374605062344,0.7517618502069778,-3.5501888166987405,0.8529279197927746,0.8454103012907048,0.8099084131237174,0.668374605062344,0.0587046626464792,1,0.14286,0.167214279593576,1,100,0.01,True,0.030719223645551352,0.7119842507335363,1.2556544680157766,False,False
59,0.07231514283335579,0.6166374725695073,0.6310257570623202,0.6377351384700986,5,2026-06-27,2026,2026,MOV_MKT_STATS,bekzat almakhan,jean matsumoto,Bantamweight,favorite,jean matsumoto,1.57143,0.6392880729760991,0.0045964565168314,0.6185071435367084,1.8427419410618096,-3.700788158647384,0.632462291679084,0.6140348722684659,0.577026990681992,0.6185071435367084,0.0784899808201287,1,0.5714300000000001,0.0080437787950081,0,100,0.01,True,0.002156128646066957,0.6166374725695073,1.6990884793854355,False,False
60,0.04284307851914761,0.5715005771901008,0.652632240885918,0.6612434137749438,5,2026-06-27,2026,2026,MOV_MKT_STATS,tahir abdullayev,jefferson nascimento,Welterweight,favorite,jefferson nascimento,1.5,0.6504992650459002,-0.0242511024311498,0.5183640573114326,-0.0062191957669655,-30.62875635691169,0.6427949508994731,0.6428571428571428,0.3365695792880259,0.5183640573114326,-0.0002708700464778,0,-1.0,0.0,1,100,0.01,True,-0.008134879337584389,0.5715005771901008,0.9775098028775187,False,False
55,0.11396251773114396,0.6996541851297993,0.8118438271647095,0.8462597135156595,5,2026-06-27,2026,2026,MOV_MKT_STATS,abdul rakhman yakhyaev,julius walker,Light Heavyweight,favorite,abdul rakhman yakhyaev,1.2597402597402598,0.8460624110528406,0.0658188814561759,0.6969889183006798,1.7867055767643358,3.406852742339017,0.811681488757334,0.7938144329896907,0.8278829604130808,0.6969889183006798,0.1129001216699811,1,0.2597402597402598,0.2534026936062774,1,100,0.01,True,0.06606743131193471,0.6996541851297993,1.802939417501881,False,False
